size;tics
100;11038
200;25128
300;40328
400;56103
500;72008
600;89133
700;106478
800;123613
900;141038
1000;158463
1100;176893
1200;195738
1300;214578
1400;233178
1500;252038
1600;270883
1700;289988
1800;308608
1900;327733
2000;346388
2100;366093
2200;386373
2300;406708
2400;427193
2500;447268
2600;467523
2700;487243
2800;507713
2900;527953
3000;548063
3100;568608
3200;589053
3300;609343
3400;629683
3500;649953
3600;670043
3700;690953
3800;711053
3900;731743
4000;751263
4100;772248
