size;time
100;2971
200;5828
300;10549
400;13150
500;18370
600;22559
700;26770
800;31355
900;37045
1000;38865
1100;42734
1200;48552
1300;57194
1400;59462
1500;64617
1600;67155
1700;75900
1800;81390
1900;78172
2000;86225
2100;93767
2200;97094
2300;98620
2400;107435
2500;108117
2600;113795
2700;117700
2800;123060
2900;132504
3000;140105
3100;151868
3200;152264
3300;159959
3400;161755
3500;178468
3600;170372
3700;180301
3800;182807
3900;192422
4000;193736
4100;190859
