size;time
100;1022
200;1059
300;1519
400;2032
500;2539
600;3019
700;3545
800;4061
900;4786
1000;5068
1100;5325
1200;5630
1300;5776
1400;6247
1500;6067
1600;6010
1700;6247
1800;6453
1900;6685
2000;6658
2100;6908
2200;7084
2300;7287
2400;7533
2500;7614
2600;7878
2700;7854
2800;8072
2900;8069
3000;8201
3100;8636
3200;9324
3300;9285
3400;9558
3500;9496
3600;9444
3700;9620
3800;9864
3900;10206
4000;10283
4100;10446
