size;time
100;5314
200;11904
300;20116
400;27136
500;33774
600;42348
700;48836
800;59334
900;69535
1000;76820
1100;83819
1200;93480
1300;101104
1400;110396
1500;120659
1600;131187
1700;138107
1800;148421
1900;156933
2000;165440
2100;174460
2200;183663
2300;193439
2400;205964
2500;215189
2600;227256
2700;234276
2800;247306
2900;256404
3000;264013
3100;274852
3200;284888
3300;291860
3400;302298
3500;314927
3600;324719
3700;334180
3800;343134
3900;353420
4000;361764
4100;375056
