size;time
100;1087
200;2347
300;4063
400;5221
500;6508
600;8837
700;10307
800;11872
900;13185
1000;14623
1100;17616
1200;19379
1300;20625
1400;22139
1500;25417
1600;25805
1700;26849
1800;28613
1900;33169
2000;31521
2100;37015
2200;39775
2300;41007
2400;41519
2500;44358
2600;45244
2700;46715
2800;49605
2900;50380
3000;51866
3100;54784
3200;55858
3300;57291
3400;59022
3500;60134
3600;64625
3700;64538
3800;68896
3900;68424
4000;70459
4100;77553
