size;time
100;582
200;886
300;1333
400;1785
500;2207
600;2592
700;3860
800;3459
900;3875
1000;4304
1100;4674
1200;4982
1300;5384
1400;5799
1500;6197
1600;6607
1700;7020
1800;8649
1900;7819
2000;8230
2100;8619
2200;9027
2300;9426
2400;9829
2500;10237
2600;10646
2700;11044
2800;11444
2900;11845
3000;12271
3100;13349
3200;13105
3300;13500
3400;13903
3500;14281
3600;14666
3700;15075
3800;15484
3900;15888
4000;16770
4100;17444
