size;tics
100;2851
200;5557
300;9143
400;11673
500;17371
600;21947
700;25401
800;27623
900;31253
1000;34047
1100;38557
1200;41945
1300;56795
1400;54639
1500;61877
1600;58313
1700;71887
1800;74967
1900;68873
2000;80841
2100;82359
2200;89707
2300;89333
2400;95933
2500;96263
2600;99761
2700;105899
2800;113401
2900;118043
3000;132651
3100;148645
3200;148711
3300;156169
3400;153155
3500;168445
3600;162043
3700;173769
3800;176783
3900;185077
4000;183779
4100;181623
