size;tics
100;101
200;156
300;200
400;266
500;310
600;354
700;398
800;453
900;486
1000;530
1100;530
1200;530
1300;530
1400;530
1500;530
1600;530
1700;530
1800;530
1900;530
2000;530
2100;530
2200;530
2300;530
2400;530
2500;530
2600;530
2700;530
2800;530
2900;530
3000;530
3100;530
3200;530
3300;530
3400;530
3500;530
3600;530
3700;530
3800;530
3900;530
4000;530
4100;530
