size;time
100;3388
200;7915
300;11567
400;17293
500;24305
600;25859
700;34478
800;36301
900;42310
1000;46567
1100;50765
1200;53730
1300;63201
1400;66819
1500;64770
1600;68515
1700;75032
1800;77666
1900;80158
2000;78108
2100;85369
2200;90036
2300;93247
2400;102685
2500;105990
2600;107515
2700;121461
2800;124589
2900;124987
3000;131148
3100;135361
3200;140055
3300;146756
3400;150878
3500;159878
3600;164605
3700;166623
3800;172652
3900;177084
4000;181794
4100;187460
