size;tics
100;3940
200;9473
300;18229
400;23652
500;31968
600;39789
700;47467
800;55717
900;64264
1000;72228
1100;81072
1200;89190
1300;100597
1400;107505
1500;120848
1600;125413
1700;137458
1800;148084
1900;156620
2000;168291
2100;178455
2200;186749
2300;201016
2400;212577
2500;219463
2600;231640
2700;241496
2800;250824
2900;257611
3000;270481
3100;282130
3200;291623
3300;301512
3400;312193
3500;321389
3600;333610
3700;344742
3800;357018
3900;371153
4000;377610
4100;388665
