size;tics
100;10858
200;24714
300;40496
400;56579
500;72200
600;88618
700;105821
800;124224
900;140731
1000;160668
1100;179586
1200;198412
1300;217256
1400;238244
1500;255533
1600;273626
1700;293365
1800;313019
1900;331352
2000;350516
2100;368601
2200;390278
2300;411669
2400;431692
2500;449680
2600;472257
2700;492917
2800;512638
2900;531552
3000;553094
3100;574286
3200;592927
3300;616904
3400;637081
3500;655319
3600;675582
3700;694397
3800;714700
3900;740853
4000;760271
4100;779799
