size;time
100;5840
200;14638
300;24254
400;36596
500;51577
600;62201
700;78179
800;90058
900;108244
1000;121816
1100;136655
1200;150339
1300;164077
1400;177606
1500;194818
1600;210507
1700;226224
1800;241033
1900;258670
2000;274852
2100;290865
2200;309241
2300;330816
2400;343878
2500;358907
2600;372889
2700;387979
2800;404968
2900;416786
3000;437295
3100;463002
3200;474705
3300;487931
3400;505451
3500;524824
3600;539520
3700;556047
3800;574659
3900;599039
4000;609418
4100;619946
