size;time
100;37498
200;140344
300;308679
400;548335
500;854565
600;1230432
700;1679047
800;2190873
900;2792384
1000;3459019
1100;4133372
1200;5000503
1300;5851748
1400;6705370
1500;7799491
1600;8879715
1700;9941915
1800;11240704
1900;12555500
2000;13831476
2100;15281624
2200;16831070
2300;18273969
2400;19775760
2500;21748168
2600;23456641
2700;25264697
2800;27086272
2900;29013909
3000;31079820
3100;33317960
3200;35453724
3300;37963244
3400;39883742
3500;42234088
3600;44846095
3700;47455348
3800;49805980
3900;52776961
4000;55448040
4100;58425663
