size;time
100;28331
200;112818
300;229181
400;391049
500;604294
600;882257
700;1204563
800;1546184
900;1964575
1000;2436167
1100;2946467
1200;3530427
1300;4149550
1400;4934275
1500;5581162
1600;6356680
1700;7208960
1800;8064362
1900;9083790
2000;10291877
2100;11328280
2200;12512494
2300;13552213
2400;14780920
2500;16067669
2600;17433847
2700;18755963
2800;20373631
2900;21648119
3000;23608040
3100;25759158
3200;27116549
3300;28569747
3400;30186765
3500;32491874
3600;34345589
3700;36630026
3800;38374255
3900;40353030
4000;42338088
4100;44639568
