size;tics
100;8991
200;17793
300;26595
400;35395
500;44195
600;52995
700;61795
800;70595
900;79395
1000;88195
1100;96995
1200;105795
1300;114595
1400;123395
1500;132195
1600;140995
1700;149797
1800;158597
1900;167397
2000;176197
2100;184997
2200;193797
2300;202597
2400;211397
2500;220197
2600;228997
2700;237797
2800;246597
2900;255397
3000;264197
3100;272997
3200;281797
3300;290597
3400;299397
3500;308197
3600;316997
3700;325797
3800;334597
3900;343397
4000;352197
4100;360997
