size;tics
100;2547
200;5047
300;7547
400;10047
500;12547
600;15047
700;17547
800;20047
900;22547
1000;25047
1100;27547
1200;30047
1300;32547
1400;35047
1500;37547
1600;40047
1700;42547
1800;45047
1900;47547
2000;50047
2100;52547
2200;55047
2300;57547
2400;60047
2500;62547
2600;65047
2700;67547
2800;70047
2900;72547
3000;75047
3100;77547
3200;80047
3300;82547
3400;85047
3500;87547
3600;90047
3700;92547
3800;95047
3900;97547
4000;100047
4100;102547
