size;tics
100;6963
200;13773
300;20595
400;27415
500;34233
600;41061
700;47889
800;54697
900;61511
1000;68327
1100;98305
1200;107225
1300;116149
1400;125073
1500;133997
1600;142921
1700;151843
1800;160773
1900;169683
2000;178625
2100;187547
2200;196471
2300;205397
2400;214317
2500;223239
2600;232163
2700;241093
2800;250005
2900;258937
3000;267847
3100;276785
3200;285717
3300;294635
3400;303561
3500;312489
3600;321411
3700;330349
3800;339281
3900;348199
4000;357125
4100;366049
