size;time
100;3184
200;7394
300;12614
400;16364
500;23714
600;26845
700;33260
800;36320
900;44514
1000;52665
1100;51689
1200;59553
1300;67534
1400;74324
1500;79247
1600;81984
1700;87615
1800;97963
1900;102175
2000;113265
2100;108030
2200;117415
2300;141868
2400;133420
2500;146755
2600;149938
2700;157130
2800;163705
2900;165130
3000;173685
3100;171521
3200;182586
3300;218037
3400;195610
3500;198861
3600;217015
3700;218645
3800;230964
3900;241440
4000;250410
4100;230165
