size;tics
100;64
200;122
300;169
400;235
500;279
600;326
700;370
800;425
900;458
1000;502
1100;505
1200;505
1300;505
1400;505
1500;505
1600;505
1700;505
1800;505
1900;505
2000;505
2100;508
2200;508
2300;508
2400;508
2500;508
2600;508
2700;508
2800;508
2900;508
3000;508
3100;508
3200;508
3300;508
3400;508
3500;508
3600;508
3700;508
3800;508
3900;508
4000;508
4100;511
