size;time
100;5881
200;13714
300;29101
400;47036
500;59737
600;71141
700;88932
800;112550
900;129667
1000;129430
1100;153417
1200;172809
1300;212795
1400;208759
1500;219677
1600;275018
1700;274108
1800;329996
1900;302620
2000;344304
2100;367957
2200;381878
2300;385511
2400;428639
2500;450731
2600;477304
2700;477044
2800;505811
2900;504740
3000;549094
3100;657020
3200;669694
3300;645206
3400;630134
3500;646042
3600;749783
3700;702445
3800;754010
3900;753271
4000;826079
4100;1311176
