;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
0;50;7120;6428;6597;6672;13672;8780;10864;10616;15045;705;11346;10392;15096;506;10656;9458;11418;411;5100;4542;6834;2184;3868;3906;33762;1472;994;32440;4585;2455;1297;4591;4408;4508;4833;4868;7289;5894;2362;1734;4700;5950;4515;5598;1172;39;677;2052;1322;79;860;1586
1;100;27995;25361;25680;25954;54847;35063;42651;45019;60095;1415;42211;47621;60196;1178;37710;45280;45343;829;17902;23230;24424;5168;12166;14862;34712;2844;1944;33390;8985;6963;2547;8991;10083;10288;11038;11233;28339;22699;7130;4438;11467;13848;10858;12819;2880;64;1472;4332;2851;101;1575;3940
2;150;62620;56794;57261;57800;123522;78846;97254;102834;135145;2125;99272;108830;135296;1760;91824;100962;101768;1247;42665;55220;52374;8422;26440;31988;35662;4206;2894;34340;13385;10373;3797;13391;16198;16523;17923;18113;63139;50491;12964;7087;18755;22771;17813;20847;4698;89;2476;7239;4512;123;2829;6899
3;200;110995;100731;101401;102125;219697;140133;174137;180573;240195;2840;176007;190835;240396;2438;163160;181030;180693;1674;78183;92664;90396;11926;45566;51834;36612;5510;3844;35788;17785;13773;5047;17793;22683;23093;25128;25418;111689;88115;20731;10801;26512;32030;24714;29306;6843;122;3521;9626;5557;156;3401;9473
4;250;173120;157160;158012;158949;343372;218912;270292;284548;375245;3545;274977;301526;375496;3014;256496;286750;282118;2083;117688;149764;138746;15410;67396;80448;37562;6892;4794;36756;22185;17179;6297;22195;29338;29498;32453;32798;173989;134564;31842;13736;34846;41421;32343;38477;10198;133;4621;12134;8164;167;4567;13422
5;300;248995;226097;227128;228216;494547;315199;389211;405007;540295;4260;397460;425122;540596;3602;371292;397804;406043;2510;169037;204578;197096;19248;95402;108120;38512;8388;5744;37706;26585;20595;7547;26595;36163;36818;40328;40768;250039;191997;43572;17024;43556;51733;40496;48093;11026;169;5944;16746;9143;200;5216;18229
