;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
15;1600;7047995;6405767;6411421;6420032;14077597;8960969;11054785;11486485;15361595;22610;11258567;12121242;15363196;15812;10542448;11462984;11525593;13180;4724266;5695591;5241116;133736;2550914;2652174;63212;44692;30444;62406;140985;142921;40047;140995;241583;244838;270883;275428;7053589;5400853;1075366;113251;310796;357234;273626;335732;80992;505;52876;187703;58313;530;29361;125413
16;1700;7955995;7231117;7237162;7246390;15892447;10116019;12491839;12975799;17341695;24010;12720117;13694821;17343396;16412;11913840;12950992;13010943;13980;5359575;6448485;5910216;143132;2890082;2995366;65112;47458;32344;64316;149785;151843;42547;149797;258283;261803;289988;294703;7961939;6101167;1205744;126248;334471;382177;293365;359810;87372;505;36838;172556;71887;530;31748;137458
17;1800;8918995;8106467;8112890;8122465;17817297;11341069;14012593;14564237;19441795;25410;14280132;15363087;19443596;17012;13388048;14530536;14586293;14780;6025709;7266908;6619316;152500;3250602;3367786;67012;50320;34244;66216;158585;160773;45047;158597;275443;278208;308608;314288;8925289;6844623;1352584;134061;356333;407395;313019;383793;101892;505;43801;231582;74967;530;32177;148084
18;1900;9936995;9031817;9038611;9048947;19852147;12636119;15616939;16236499;21661895;26810;15897765;17137680;21663796;17612;14898096;16224798;16251643;15580;6722425;8116435;7368416;161902;3628858;3753814;68912;53018;36144;68116;167385;169683;47547;167397;292423;294848;327733;333513;9943639;7630797;1506076;154296;381202;432519;331352;407665;102552;505;37982;181906;68873;530;32298;156620
19;2000;11009995;10007167;10014388;10025177;21996997;14001169;17307309;18033853;24001995;28210;17592422;19044376;24003996;18212;16464928;18039718;18006993;16380;7455195;9089919;8157516;171294;4025414;4195216;70812;55868;38044;70016;176185;178625;50047;176197;309823;311048;346388;352663;11016989;8461448;1656257;150832;401238;457718;350516;432670;114432;505;46925;199913;80841;530;34003;168291
20;2100;12137995;11032517;11040144;11051758;24251847;15436219;19087151;19863375;26462095;29610;19396161;20962400;26464196;18812;18133288;19798672;19852343;17180;8231777;9978281;8986616;181108;4448562;4598636;72712;58690;39944;71916;184985;187547;52547;184997;327103;328658;366093;372603;12145339;9337799;1827855;158222;425447;483791;368601;456376;104095;508;45784;231431;82359;530;35972;178455
21;2200;13320995;12107867;12115787;12128362;26616697;16941269;20944813;21782289;29042195;31010;21300675;22988797;29044396;19412;19963994;21772872;21787693;17980;9025954;10910275;9855716;191302;4882810;5021414;74612;61474;41844;73816;193785;196471;55047;193797;344323;347553;386373;393018;13328689;10257278;2013220;159135;447722;510609;390278;481444;112631;508;49271;233862;89707;530;37325;186749
22;2300;14558995;13233217;13241522;13254634;29091547;18516319;22898275;23785063;31742295;32410;23248800;25093251;31744596;20012;21773280;23742222;23813043;18780;9878181;11873454;10764816;201476;5346722;5458346;76512;64452;43744;75716;202585;205397;57547;202597;361983;365958;406708;413493;14567039;11221041;2179646;165080;473696;537643;411669;505734;134235;508;41120;231420;89333;530;38964;201016
23;2400;15851995;14408567;14417277;14430885;31676397;20161369;24943381;25899949;34562395;33810;25341412;27319162;34564796;20612;23746014;25867368;25928393;19580;10779107;12931385;11713916;211614;5834118;5937372;78412;67312;45644;77616;211385;214317;60047;211397;379423;384573;427193;433908;15860389;12226415;2371516;195045;494835;564485;431692;531257;127635;508;64132;264772;95933;530;41593;212577
24;2500;17199995;15633917;15642969;15657020;34371247;21876419;27037667;28134067;37502495;35210;27455270;29701862;37504996;21212;25717548;28106386;28133743;20380;11633188;14100088;12703016;221790;6311734;6465832;80312;70182;47544;79516;220185;223239;62547;220197;397283;402873;447268;454718;17208739;13275209;2570442;190744;518857;591744;449680;557576;144575;508;59622;283791;96263;530;42858;219463
25;2600;18602995;16909267;16918682;16933488;37176097;23661469;29235477;30406533;40562595;36610;29688607;32100395;40565196;21812;27816354;30380698;30429093;21180;12562698;15197574;13732116;231938;6826470;6962668;82212;72926;49444;81416;228985;232163;65047;228997;415123;421143;467523;475143;18612089;14367279;2777593;189277;541355;619060;472257;582712;150295;508;57576;305439;99761;530;44805;231640
