;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
0;50;4640;2680;4394;3835;8834;2687;10708;5238;8742;304;16238;5117;9270;250;15944;4840;2747;251;4125;1367;4507;2282;5859;3196;17514;1100;1491;19995;1890;1115;1843;2088;5221;5374;12517;6295;6165;7085;4908;2119;2475;2954;6805;3045;1393;466;2368;2532;1293;480;2973;2075
1;100;16341;10585;15859;15862;35952;10331;32200;25204;34189;516;50198;24974;36705;447;52756;24177;10412;423;13516;6158;14467;4700;16099;10658;19064;1464;2590;20354;3569;2914;3214;3969;9985;11689;33830;12977;24517;26625;13520;4470;5668;7002;13982;7429;3262;953;5066;4948;2834;948;6282;4281
2;150;35704;23551;50577;30573;79162;23057;74507;64359;77805;770;88435;59635;78769;660;110494;56933;24445;635;28253;14640;29999;7720;31328;22193;20095;2162;4000;20730;5279;4351;4746;5883;15025;17281;42079;19347;52108;56622;22784;7108;9549;13148;21870;11486;5486;1667;8951;9223;4446;1535;10075;8323
3;200;63244;42119;85454;49016;140837;40849;144833;104072;137295;1029;153669;99966;140645;907;178854;98396;41105;843;45406;23423;50341;10989;42458;34456;18394;2825;5062;21521;7002;5761;6350;7822;20029;22505;66958;26218;89684;92524;31020;11115;14448;17653;30781;16655;7356;2452;13459;15514;5760;2207;10886;12831
4;250;101407;65676;136665;77294;217569;63657;238844;165882;216462;1275;240555;157520;219806;1117;215204;157148;64359;1039;69112;36402;79342;14236;59760;51077;18834;3525;6299;21306;8690;7685;7876;9711;24942;27567;80457;32904;141513;135685;47365;14707;20369;22822;43800;24092;10532;2750;16730;19679;8076;2848;13302;20931
5;300;140909;91840;180785;104754;310844;91660;323715;226487;309557;1529;286794;222439;316599;1345;283635;217855;91855;1254;86729;49210;108198;18338;82373;66876;19205;4278;7547;20719;10400;9522;9437;11650;31326;33570;88735;37708;202236;187565;63175;19447;24943;28690;50332;29809;13006;3817;23233;24210;10061;3505;16639;25651
