;size;selection_reverse_sorted;selection_almost_sorted;selection_small_numbers;selection_large_numbers;bubble_reverse_sorted;bubble_almost_sorted;bubble_small_numbers;bubble_large_numbers;bubble_1_reverse_sorted;bubble_1_almost_sorted;bubble_1_small_numbers;bubble_1_large_numbers;bubble_2_reverse_sorted;bubble_2_almost_sorted;bubble_2_small_numbers;bubble_2_large_numbers;simple_insertion_reverse_sorted;simple_insertion_almost_sorted;simple_insertion_small_numbers;simple_insertion_large_numbers;binary_insertion_reverse_sorted;binary_insertion_almost_sorted;binary_insertion_small_numbers;binary_insertion_large_numbers;counting_reverse_sorted;counting_almost_sorted;counting_small_numbers;counting_large_numbers;radix_reverse_sorted;radix_almost_sorted;radix_small_numbers;radix_large_numbers;merge_reverse_sorted;merge_almost_sorted;merge_small_numbers;merge_large_numbers;quick_reverse_sorted;quick_almost_sorted;quick_small_numbers;quick_large_numbers;heap_reverse_sorted;heap_almost_sorted;heap_small_numbers;heap_large_numbers;shell_shell_reverse_sorted;shell_shell_almost_sorted;shell_shell_small_numbers;shell_shell_large_numbers;shell_ciura_reverse_sorted;shell_ciura_almost_sorted;shell_ciura_small_numbers;shell_ciura_large_numbers
15;1600;3943338;2622995;2619508;2661912;8661669;2592664;6004944;6464675;8879715;7025;5640905;6356680;8907161;6010;5637760;6165348;2620009;6607;1078706;1283924;2731290;131187;1314455;1422911;30532;22181;19030;30040;55669;58590;20764;56324;183359;184344;206563;238577;5537054;5103324;593918;138683;210507;235914;185662;232004;81984;25805;99411;275018;67155;20990;68515;232357
16;1700;4424380;2971248;2977343;3005449;9850272;2933544;6908346;7378055;9941915;7422;6430924;7208960;10046530;6247;6398540;7056957;2975097;7020;1232543;1450800;3085710;138107;1506589;1588590;31282;23454;18195;31155;58593;62451;21120;60768;195055;194363;217838;254623;6243420;5782707;662662;151547;226224;251579;200201;251460;87615;26849;84819;274108;75900;23907;75032;251691
17;1800;4978975;3306609;3292610;3350144;11060318;3278623;7636617;8356105;11240704;7641;7266749;8064362;11447504;6453;7195814;8023128;3311513;8649;1374787;1660399;3412691;148421;1675064;1787313;32145;25067;19261;32159;63419;66095;22123;62444;205327;205269;234120;277383;6977787;6491269;744367;165412;241033;270230;221797;271489;97963;28613;95999;329996;81390;23791;77666;264295
18;1900;5541680;3653267;3711343;3778835;12178895;3671206;8515942;9274504;12555500;8058;8146509;9083790;12718745;6685;8053963;8986076;3692466;7819;1532793;1842829;3821784;156933;1881928;2016940;33421;26709;20334;31660;65507;69774;23390;65657;216595;214212;243295;281871;7792583;7158959;832127;180511;258670;284270;227683;288876;102175;33169;87385;302620;78172;26853;80158;277613
19;2000;6167343;4060880;4063062;4126024;13641536;4065815;9495732;10327977;13831476;8472;8933805;10291877;13738436;6658;8921514;10148933;4098045;8230;1704350;2067463;4268705;165440;2069163;2256326;33845;28587;21367;32450;70216;75067;24686;70398;227309;223436;257487;293419;8636235;8017742;909176;186279;274852;312087;242549;310320;113265;31521;106407;344304;86225;28088;78108;296421
20;2100;6781994;4479314;4489113;4518568;14862329;4571715;10514813;11622266;15281624;8891;9918788;11328280;15412007;6908;9998720;11105545;4527105;8619;1883292;2296294;4679065;174460;2288455;2442360;34825;29013;22031;33174;72329;77549;24198;72545;234337;236295;272766;319251;9501939;8809315;996241;195073;290865;327764;257366;325722;108030;37015;108738;367957;93767;28022;85369;316704
21;2200;7420294;4901940;4968970;4981219;16341695;4911870;11511321;12560067;16831070;9103;10919505;12512494;16703806;7084;11080613;12138934;4980852;9027;2056515;2530743;5175009;183663;2493375;2648477;35773;30374;21664;34569;77890;82309;24958;77369;250945;250158;288452;337837;10473399;9695861;1097278;195438;309241;337242;268127;340641;117415;39775;116613;381878;97094;31403;90036;333228
22;2300;8158670;5350788;5438115;5420202;17895792;5362178;12659239;13830841;18273969;9431;12074897;13552213;18516417;7287;12061630;13217605;5456344;9426;2248236;2709010;5608916;193439;2755995;2879001;38524;31890;23238;34988;79813;84956;25445;80098;267759;265582;306182;353045;11391684;10647229;1189617;203114;330816;353168;283542;359809;141868;41007;111823;385511;98620;32735;93247;358632
23;2400;8841784;5885236;5846519;5903224;19559139;5844359;13827013;14907791;19775760;9853;13242671;14780920;20193491;7533;13373430;14394141;5931074;9829;2456501;2923332;6140909;205964;2987458;3136510;37869;33755;23490;35605;84085;88211;27164;83242;278612;278596;320867;371517;12401627;11546874;1285674;238724;343878;373329;296503;377577;133420;41519;149051;428639;107435;34162;102685;374082
24;2500;9577465;6328775;6350710;6392678;21190278;6316378;15019148;16317085;21748168;10242;14349411;16067669;21712693;7614;14194149;15644426;6385465;10237;2647155;3204685;6545582;215189;3247402;3400783;36820;34735;25055;36522;86994;92399;26806;86272;291552;293257;337430;388931;13537572;12590242;1353654;233531;358907;394065;310927;395658;146755;44358;137950;450731;108117;36800;105990;387122
