size;tics
100;10288
200;23093
300;36818
400;51208
500;65273
600;81143
700;96908
800;112433
900;127883
1000;143068
1100;160073
1200;177293
1300;194363
1400;211308
1500;227998
1600;244838
1700;261803
1800;278208
1900;294848
2000;311048
2100;328658
2200;347553
2300;365958
2400;384573
2500;402873
2600;421143
2700;439523
2800;457568
2900;475713
3000;493458
3100;511288
3200;529638
3300;547858
3400;566003
3500;583803
3600;601348
3700;619403
3800;637108
3900;654638
4000;672008
4100;689103
