size;tics
100;11233
200;25418
300;40768
400;56853
500;73153
600;90443
700;108093
800;125703
900;143518
1000;161258
1100;179853
1200;198953
1300;218068
1400;237198
1500;256403
1600;275428
1700;294703
1800;314288
1900;333513
2000;352663
2100;372603
2200;393018
2300;413493
2400;433908
2500;454718
2600;475143
2700;495818
2800;516363
2900;536968
3000;557578
3100;578288
3200;599028
3300;619968
3400;640443
3500;661033
3600;682303
3700;702653
3800;723853
3900;744363
4000;765198
4100;786193
