size;tics
100;60196
200;240396
300;540596
400;960796
500;1500996
600;2161196
700;2941396
800;3841596
900;4861796
1000;6001996
1100;7262196
1200;8642396
1300;10142596
1400;11762796
1500;13502996
1600;15363196
1700;17343396
1800;19443596
1900;21663796
2000;24003996
2100;26464196
2200;29044396
2300;31744596
2400;34564796
2500;37504996
2600;40565196
2700;43745396
2800;47045596
2900;50465796
3000;54005996
3100;57666196
3200;61446396
3300;65346596
3400;69366796
3500;73506996
3600;77767196
3700;82147396
3800;86647596
3900;91267796
4000;96007996
4100;100868196
