size;time
100;17911
200;18216
300;19112
400;19841
500;20809
600;21839
700;22290
800;23290
900;23897
1000;25607
1100;27431
1200;27430
1300;28038
1400;28833
1500;31085
1600;30532
1700;31282
1800;32145
1900;33421
2000;33845
2100;34825
2200;35773
2300;38524
2400;37869
2500;36820
2600;38266
2700;38535
2800;39310
2900;40114
3000;40930
3100;41642
3200;44689
3300;45890
3400;44185
3500;45232
3600;47236
3700;46596
3800;47333
3900;48419
4000;49097
4100;50795
