size;time
100;1653
200;3056
300;4541
400;6222
500;7461
600;8416
700;9331
800;10619
900;11995
1000;13346
1100;14082
1200;14257
1300;15480
1400;16778
1500;17784
1600;19030
1700;18195
1800;19261
1900;20334
2000;21367
2100;22031
2200;21664
2300;23238
2400;23490
2500;25055
2600;24187
2700;24436
2800;25211
2900;26644
3000;28303
3100;26760
3200;27301
3300;27385
3400;28442
3500;28581
3600;29166
3700;30482
3800;31099
3900;31770
4000;32912
4100;33665
